url,issue_type,suggested_action,target_url
https://compassgrill.co.il/cast-iron-tools-plov-cooking/cast-iron-cooking-tools/dual-sided-cast-iron-rectangular-griddle/?category_id=35280&sort=rating&order=ASC,parameters,Noindex,https://compassgrill.co.il/cast-iron-tools-plov-cooking/cast-iron-cooking-tools/dual-sided-cast-iron-rectangular-griddle/
https://compassgrill.co.il/knives-and-accessories/giesser-knives/premiumcut-yobocho-knife-20cm/?sort=p.sort_order&order=ASC,parameters,Noindex,https://compassgrill.co.il/knives-and-accessories/giesser-knives/premiumcut-yobocho-knife-20cm/
https://compassgrill.co.il/eitan-meat-eilat/טחונים-קפואים/spicy-angus-chorizo-100g-12-14-pcs-tray-1/?category_id=125609&sort=price&order=DESC,parameters,Noindex,https://compassgrill.co.il/eitan-meat-eilat/טחונים-קפואים/spicy-angus-chorizo-100g-12-14-pcs-tray/
https://compassgrill.co.il/eitan-meat-eilat/טחונים-קפואים/spicy-angus-chorizo-100g-12-14-pcs-tray-1/?category_id=125609&sort=price&order=DESC,duplicate,Redirect 301,https://compassgrill.co.il/eitan-meat-eilat/טחונים-קפואים/spicy-angus-chorizo-100g-12-14-pcs-tray/
https://compassgrill.co.il/cast-iron-tools-plov-cooking/cast-iron-cooking-tools/poike-number-3/?sort=rating&order=ASC,parameters,Noindex,https://compassgrill.co.il/cast-iron-tools-plov-cooking/cast-iron-cooking-tools/poike-number/
https://compassgrill.co.il/cast-iron-tools-plov-cooking/cast-iron-cooking-tools/poike-number-3/?sort=rating&order=ASC,duplicate,Redirect 301,https://compassgrill.co.il/cast-iron-tools-plov-cooking/cast-iron-cooking-tools/poike-number/
https://compassgrill.co.il/cast-iron-tools-plov-cooking/cast-iron-cooking-tools/reckless-1-kazan-pot-grill/?category_id=35280&sort=pd.name&order=DESC,parameters,Noindex,https://compassgrill.co.il/cast-iron-tools-plov-cooking/cast-iron-cooking-tools/reckless-1-kazan-pot-grill/
https://compassgrill.co.il/בשרים-קפואים/כבד-אווז-קפוא-ארוז-פרימיום-copy-0-1/?category_id=125607&sort=rating&order=ASC,parameters,Noindex,https://compassgrill.co.il/בשרים-קפואים/כבד-אווז-קפוא-ארוז-פרימיום-copy-0/
https://compassgrill.co.il/בשרים-קפואים/כבד-אווז-קפוא-ארוז-פרימיום-copy-0-1/?category_id=125607&sort=rating&order=ASC,duplicate,Redirect 301,https://compassgrill.co.il/בשרים-קפואים/כבד-אווז-קפוא-ארוז-פרימיום-copy-0/
https://compassgrill.co.il/knives-and-accessories/giesser-knives/premiumcut-steel-sharpening-stone-25cm-fine/?category_id=104927&sort=p.model&order=ASC,parameters,Noindex,https://compassgrill.co.il/knives-and-accessories/giesser-knives/premiumcut-steel-sharpening-stone-25cm-fine/
https://compassgrill.co.il/eitan-meat-eilat/veal-filet-medallions-5-pcs-500g-1/?sort=rating&order=ASC,parameters,Noindex,https://compassgrill.co.il/eitan-meat-eilat/veal-filet-medallions-5-pcs-500g/
https://compassgrill.co.il/eitan-meat-eilat/veal-filet-medallions-5-pcs-500g-1/?sort=rating&order=ASC,duplicate,Redirect 301,https://compassgrill.co.il/eitan-meat-eilat/veal-filet-medallions-5-pcs-500g/
https://compassgrill.co.il/cast-iron-cooking-tools/dual-cast-iron-round-griddle/?category_id=35280&sort=p.sort_order&order=ASC,parameters,Noindex,https://compassgrill.co.il/cast-iron-cooking-tools/dual-cast-iron-round-griddle/
https://compassgrill.co.il/cast-iron-tools-plov-cooking/cast-iron-cooking-tools/6l-asian-kazan-cast-iron-lid-uncoated/?sort=rating&order=ASC,parameters,Noindex,https://compassgrill.co.il/cast-iron-tools-plov-cooking/cast-iron-cooking-tools/6l-asian-kazan-cast-iron-lid-uncoated/
https://compassgrill.co.il/fresh-meat-eilat/?sort=pd.name&order=ASC,parameters,Noindex,https://compassgrill.co.il/fresh-meat-eilat/
https://compassgrill.co.il/cast-iron-tools-plov-cooking/cast-iron-cooking-tools/striped-pan-with-wooden-handle-cast-spout/?sort=price&order=DESC,parameters,Noindex,https://compassgrill.co.il/cast-iron-tools-plov-cooking/cast-iron-cooking-tools/striped-pan-with-wooden-handle-cast-spout/
